id	TYPE	gender	NAME	description	level	icon_id	part	is_up_to_up	power_require	gold	gem	head	body	leg
1900	27	3	Ghost Rider	Vật phẩm sự kiện	0	16187	1968	0	1500000	0	0	1968	1969	1970
1820	27	3	Mảnh vỡ bông tai cấp 3	Dùng để nâng cấp bông tai cấp 3	1	15613	-1	1	0	0	0	-1	-1	-1
1819	27	3	Bông tai Porata	Sử dụng để hợp thể với đệ tử	1	15614	-1	1	1500000	0	0	-1	-1	-1
1789	27	3	Thỏ may mắn	Vật phẩm sự kiện	0	15247	0	0	0	0	0	-1	-1	-1
1778	27	3	Cuốn chả giò	Vật phẩm sự kiện	0	15294	-1	1	0	0	0	-1	-1	-1
1771	27	3	Rồng 1 sao	Vật phẩm sự kiện	0	16187	1680	0	0	0	0	1680	1681	1682
1770	27	3	Rồng 2 sao	Vật phẩm sự kiện	0	15117	1677	0	0	0	0	1677	1678	1679
1769	27	3	Rồng 3 sao	Vật phẩm sự kiện	0	15109	1674	0	0	0	0	1674	1675	1676
1768	27	3	Rổng 4 sao	Vật phẩm sự kiện	0	15101	1671	0	0	0	0	1671	1672	1673
1767	27	3	Rổng 5 sao	Vật phẩm sự kiện	0	15093	1668	0	0	0	0	1668	1669	1670
1766	27	3	Rồng 6 sao	Vật phẩm sự kiện	0	15085	1665	0	0	0	0	1665	1666	1667
1765	27	3	Rổng 7 sao	Vật phẩm sự kiện	0	15077	1662	0	0	0	0	1662	1663	1664
1757	27	3	Hộp quà Cađíc VIP	Vật phẩm sự kiện	0	14521	-1	1	0	0	0	-1	-1	-1
1756	27	3	Hộp quà Cađíc	Vật phẩm sự kiện	0	14520	-1	1	0	0	0	-1	-1	-1
1755	27	3	Hộp quà Cađíc	Vật phẩm sự kiện	0	14520	-1	1	0	0	0	-1	-1	-1
1750	27	3	Pet Khủng Long ngok	Vật phẩm sự kiện	0	13259	-1	1	0	0	0	-1	-1	-1
1748	27	3	Pet tuần lộc	Vật phẩm sự kiện	0	14509	-1	1	0	0	0	-1	-1	-1
1747	27	3	Hộp quà Black Friday	Vật phẩm sự kiện	0	14514	-1	1	0	0	0	-1	-1	-1
1740	27	3	Sách giáo khoa	Tiên học lễ, hậu học văn	0	14344	-1	0	0	0	0	-1	-1	-1
1739	27	3	Hộp quà 20-11	Vật phẩm sự kiện	0	12763	-1	0	0	0	0	-1	-1	-1
1738	27	3	Hộp quà FA	VPSK	0	12763	-1	0	0	0	0	-1	-1	-1
1737	27	3	Rađa dò Zombie	VPSK	0	2758	-1	0	0	0	0	-1	-1	-1
1736	27	3	Hộp quà FA	VPSK	0	12763	-1	0	0	0	0	-1	-1	-1
1730	27	3	Vé ước miễn phí	VPSK	0	11474	-1	0	0	0	0	-1	-1	-1
1729	27	3	Pet Rồng Xanh	VPSK	0	14294	-1	0	0	0	0	-1	-1	-1
