id	NAME
0	Tấn công+#
1	Thời gian sử dụng # phút
2	HP, KI+#000
3	Vô hiệu và biến #% sát thương chưởng thành KI
4	Hồi phục #% KI khi bị đánh
5	+#% sức đánh chí mạng
6	HP+#
7	KI+#
8	Hút #% HP, KI xung quanh mỗi 5 giây
9	Hiệu lực trong # phút
10	Sát thương chuẩn #%
11	Công đức +#
12	Số lần sử dụng còn lại +#
13	Số yêu quái đã hạ +#
14	Chí mạng+#%
15	Phản đòn cận chiến+#
16	Tốc độ di chuyển+#%
17	Né đòn: +#
18	Chính xác: +#%
19	Tấn công+#% khi đánh quái
20	PIN #
21	Yêu cầu sức mạnh # tỉ
22	HP+#K
23	KI+#K
24	Làm tăng trọng lực, gây chậm mọi người xung quanh
25	Tàng hình mỗi 5 giây
26	Hóa đá mọi người xung quanh mỗi 30 giây
27	+# HP/30s
28	+# KI/30s
29	Biến Sôcôla mọi người xung quanh mỗi 30 giây
30	Không thể giao dịch
31	Số lượng #
32	Không bị hóa Xương
33	Dịch chuyển tức thời
34	Tinh ấn
35	Nguyệt ấn
36	Nhật ấn
37	Số lần đã ký gửi #
38	Chỉ có tác dụng khi hợp thể
39	<Cập nhật bản mới để xem>
40	Siêu cải trang # đá ngũ sắc
41	Chỉ số thưởng +#:
42	Tấn công+#% lên quái bay
43	Tấn công+#% lên quái khỉ
44	Tấn công+#% lên quái mặt đất
45	Tấn công+#% lên tộc Namếc
46	Tấn công+#% lên tộc Trái đất
47	Giáp+#
48	HP, KI+#
49	Tấn công+#%
50	Sức đánh+#%
51	Sôn Gô Ku ss#
52	Ca Đic siêu ss#
53	Broly
54	Mr. Santa
55	Broly ss#
56	Ca Lích
57	Thên Xin Hăng
58	Pic
59	Siêu na mếc #
60	Sôn Gô Tên
61	Sôn Gô Ku
62	Phục hồi thể lực #%
63	Còn lại # ngày
64	Còn lại # giờ
65	Còn lại # phút
66	Chưa có
67	Dùng nâng cấp găng tay
68	Dùng để nâng cấp áo
69	Dùng để nâng cấp quần
70	Dùng để nâng cấp giày
71	Dùng để nâng cấp rađa
72	Cấp #
73	
74	Dùng để ép thành đá
75	Dùng để làm phép
76	Vip
77	HP+#%
78	Sức hủy diệt+#%
79	Đệ tử #% sức đánh
80	HP+#%/30s
81	KI+#%/30s
82	Không bị quái chủ động đánh và giảm 20% sát thương khi bị đánh
83	Tăng 20% sức mạnh và tiềm năng nhận được khi đánh quái
84	Dùng để bay không tốn KI
85	Dùng để bay và phục hồi KI
86	Ký gửi vàng
87	Ký gửi ngọc
88	Cộng #% Tiềm năng và sức mạnh nhận được khi đánh quái
89	Dùng để bay và phục hồi HP, KI
90	Tặng cho người khác (bỏ ra đất) sẽ được nhận may mắn
91	Mở ra để nhận may mắn
92	Chúc tết bang hội và mọi người kèm theo pháo hoa
93	Hạn sử dụng # ngày
94	Giảm #% sát thương
95	Biến #% tấn công thành HP
96	Biến #% tấn công thành KI
97	Phản #% sát thương
98	Xuyên giáp #% chưởng
99	Xuyên giáp #% cận chiến
100	+#% vàng từ quái
101	+#% tiềm năng, sức mạnh
102	# Sao Pha Lê
103	KI +#%
104	Biến #% tấn công quái thành HP
105	Vô hình khi không đánh quái và boss
106	Không ảnh hưởng bởi cái lạnh
107	# Sao Pha Lê
108	#% Né đòn
109	Hôi, giảm #% HP
110	Dò pha lê
111	Phân tâm
112	Giảm #% khi mua Avatar hoặc Cải trang
113	Ném cho Sói Hẹc Quyn
114	+#% TĐ chạy
115	Biến cà rốt
116	Kháng TDHS
117	Đẹp +#% SĐ cho mình và người xung quanh
118	Tới ngay mục tiêu và gây choáng trong # mili giây
119	Gây mù xung quanh trong # giây
120	Ra đòn sau # giây
121	Ru ngủ trong # giây
122	Bảo vệ trong # giây
123	Trói gô mục tiêu trong # giây
124	Tỉnh giấc bị yếu đi -#% sức đánh trong 10 giây
125	Tăng và hồi phục #% HP tạm thời cho mình và xung quanh trong 30 giây
126	Biến sôcôla làm yếu đi -#% sức đánh trong 30 giây
127	Set Thên Xin Hăng
128	Set Kirin
129	Set Sôngôku
130	Set Picolo
131	Set Ốc tiêu
132	Set Pikkoro Daimao
133	Set Kakarot
134	Set Ca Đíc
135	Set Nappa
136	$(5 món +100% sát thương đấm Galick)
137	$(5 món x5 thời gian hóa khỉ)
138	$(5 món +80% HP)
139	$(5 món x2 thời gian chói mắt)
140	$(5 món +100% sát thương Quả Cầu Kênh Khi)
141	$(5 món +100% sát thương Kamejoko)
142	$(5 món +100% sát thương Masenkosappo)
143	$(5 món +100% sát thương Liên Hoàn)
144	$(5 món +100% sát thương và bất tử đệ từ Đẻ Trứng)
145	$(Ở gần 1 CT Dr Slum khác loại +20% sức đánh +66% tốc độ chạy)
146	$(Ở gần 2 CT Dr Slum khác loại +30% sức đánh +100% tốc độ chạy)
147	+#% sức đánh
148	+#% tốc độ chạy
149	(Chỉ số tăng khi ở gần CT Hải Tặc khác loại)
150	(Chỉ số tăng khi ở gần Android Sát Thủ khác loại)
151	$(Ở gần 1 CT nhóm Piláp khác loại +20% sức đánh +66% tốc độ chạy)
152	$(Ở gần 2 CT nhóm Piláp khác loại +30% sức đánh +100% tốc độ chạy)
153	#% tỉ lệ phát nổ sau khi chết
154	Không thể bán lại
155	Giảm 50% sức đánh, HP, KI và +#% SM, TN, vàng từ quái
156	Cộng dồn 1% sức đánh khi chỉ dùng chiêu đấm, tối đa #%
157	Giảm #% mọi sát thương khi KI dưới 20%
158	Khi ở trần và không đeo cải trang sẽ có cơ hội tìm thấy vật phẩm sự kiện
159	x# sức đánh đòn chưởng cơ bản mỗi phút
160	+#% TN, SM cho đệ tử khi sư phụ mặc
161	Thêm # ngọc mỗi ngày khi đánh quái.
162	Cute hồi #% KI/s bản thân và xung quanh
163	Biến người xung quanh thành Bí Ngô
164	Đổi bằng # điểm sự kiện
165	Cơ hội ra đòn +#% sát thương lửa khi cận chiến quái
166	Ngầu +#% sức đánh lên quái khi bay với Cải Trang Tàu Pảy Pảy
167	Tạo không khí lạnh
168	Hấp thụ sức mạnh rồi bộc phá
169	Cơ hội hạ độc đối thủ
170	Ngầu +#% sức đánh lên quái khi bay với Cải Trang nhà Fide
171	Số lượng #K
172	#
173	Phục hồi #% HP và KI cho đồng đội
174	Sự kiện năm #
175	Giảm #% thời gian bị mù
176	$(Ở gần đủ 5 loại +20% sức đánh +50% tốc độ chạy)
177	$(Tối đa +2% tất cả khi ở gần Mabư mập)
178	KI+#%/10s
179	+2% sức đánh, tối đa 10% khi ở gần Cải Trang tộc Demons Frost
180	+#% sức đánh khi ở gần Cải Trang Black Gohan Rose
181	Dịch chuyển tức thời +#% sát thương
182	+#% sát thương đệ từ trứng
183	Giảm #% thời gian hồi Khiên
184	+#% sức đánh, tối đa 10% khi ở gần Gohan xanh, Poc đỏ, Arale búp bê
185	+# giờ sử dụng
186	Biến kẹo 30 giây
187	Giảm # giây thời gian bị mù
188	Đệ tử chưởng kamejoko +#% sát thương
189	Đệ tử chưởng antomic +#% sát thương
190	Đệ tử chưởng masenko +#% sát thương
191	Né chí mạng+#%
192	+#% Chí mạng
193	+#% sức đánh, tối đa 11% khi ở gần Cải trang cầu thủ khác
194	+#% sức đánh, tối đa 10% khi ở gần Cải trang hè khác
195	+#% sức đánh, tối đa 10% khi ở gần Cải trang siêu nhân khác
196	Xinh +#% sức đánh, tối đa 18% khi ở gần Cải trang Thỏ khác
197	Tấn công+#% lên tộc Xayda
198	Giảm #% sát thương từ tộc Trái Đất
199	Giảm #% sát thương từ tộc Namếc
200	Giảm #% sát thương từ tộc Xayda
201	Tấn công+#% gần 2 thành viên bang
202	HP+#% gần 2 thành viên bang
203	KI+#% gần 2 thành viên bang
204	Tấn công+#% lên Boss
205	Đi cùng CT Diệt Quỷ +#% SĐ, tối đa 18%
206	Vật phẩm hiếm rơi từ quái (+#%)
207	Vật phẩm hiếm rơi từ boss (+#%)
208	Trang bị đã chuyển hóa
209	Bị rớt cấp # lần
210	# Dòng chỉ số ẩn
211	Giám định #/5
212	Độ bền #/1000
213	Giá bán: # triệu vàng
214	Phạm vi tuyệt kỹ +#%
215	Số lượng mục tiêu +#
216	Tuyệt kỹ +#% sát thương
217	- Chưa giám định
218	 ---------
219	Số lần tẩy #
220	Hoàn thành #%
221	Phục hồi #% HP và  KI mỗi 30 giây cho bản thân và đồng bang
222	120 giây kích nộ sức đánh #% trong 30 giây
223	120 giây kích hồi #% HP trong vòng 30 giây
224	Giảm thời gian cooldown của tất cả kỹ năng về 0,1 giây
225	Giảm # giây bị phong ấn của Ma Phong Ba
226	Cute +#% SĐ cho mình và người xung quanh
227	Giảm #% tác dụng của các đòn khống chế khi dùng khiên năng lượng
228	Cường hóa tới ô sao pha lê #
229	Lạnh gây giảm #% HP , KI mỗi 30s cho những người xung quanh
230	+# triệu tiềm năng, sức mạnh
231	Hạn sử dụng hoặc vĩnh viễn
232	Số lần giao dịch còn lại: #
233	Set Gohan
234	$(5 món +150% may mắn +30% vàng rơi từ quái)
235	Số lần ký gửi còn lại: #
236	+#% May mắn
237	Set Nail chiến binh Namếc
238	$[2] Tăng nhẹ sát thương chí mạng
239	$[4] Giảm nhẹ hồi chiêu Masenko
240	$[5] Tăng sát thương Masenko, giảm mạnh hồi chiêu Masenko
241	Set Cađic M
242	$[2] Tăng nhẹ HP và phạm vi ảnh hưởng chiêu phát nổ
243	$[4] Tăng nhẹ sát thương chiêu phát nổ
244	$[5] Tăng mạnh sát thương chiêu phát nổ
245	Set Thần Vũ Trụ Kaio
246	$[2] Tăng mạnh chí mạng
247	$[4] Giảm nhẹ hao HP,KI chiêu Kaioken
248	$[5] Tăng mạnh sát thương và giảm mạnh hao HP,KI chiêu Kaioken
249	Hắc hóa: +#% HP cho người chơi xung quanh
250	# Kilis
