id	TYPE	gender	NAME	description	level	icon_id	part	is_up_to_up	power_require	gold	gem	head	body	leg
2025	25	3	Nhẫn Thiên Thạch	Viên ngọc trai phát sáng lấp lánh được đính trên một dải kim loại óng ánh. Nó mang trong mình sức mạnh của các vì sao.	8	19053	-1	0	0	0	0	-1	-1	-1
2024	25	3	Nhẫn Kim Quang	Một chiếc nhẫn vàng ròng, phát ra luồng hào quang chói lóa, như thể được các vị thần ban phước. Nó tượng trưng cho sự giàu có và quyền lực.	7	19052	-1	0	0	0	0	-1	-1	-1
2023	25	3	Nhẫn Huyết Nguyệt	Chiếc nhẫn đỏ rực như máu, được cho là hấp thụ sức mạnh của mặt trăng đỏ. Nó mang lại sức mạnh cuồng bạo cho người sở hữu.	6	19051	-1	0	0	0	0	-1	-1	-1
2022	25	3	Nhẫn Dung Nham	Vòng kim loại nóng chảy đang sôi sục, mang trong mình sức nóng của lõi trái đất. Sức mạnh của nó có thể đốt cháy mọi thứ.	5	19050	-1	0	0	0	0	-1	-1	-1
2021	25	3	Nhẫn Hắc Ám	Ánh sáng tím sẫm bao quanh chiếc nhẫn như một màn đêm vô tận. Nó chứa đựng sức mạnh của hư không và bóng đêm.	4	19049	-1	0	0	0	0	-1	-1	-1
2020	25	3	Nhẫn Lục Diệp	Được cho là chế tác từ cành cây của Cây Thế giới. Nó tràn đầy sức sống và kết nối người đeo với thiên nhiên.	3	19048	-1	0	0	0	0	-1	-1	-1
2019	25	3	Nhẫn Băng Tinh	Một khối băng vĩnh cửu được nén lại thành hình chiếc nhẫn. Hơi lạnh tỏa ra từ nó có thể làm chậm kẻ thù và bảo vệ chủ nhân khỏi hỏa công.	2	19047	-1	0	0	0	0	-1	-1	-1
2018	25	3	Nhẫn Quang Minh	Chiếc nhẫn được rèn từ vàng nguyên chất, tỏa ra ánh sáng dịu nhẹ của bình minh. Nó xua tan bóng tối và mang lại hy vọng cho người đeo.	1	19046	-1	0	0	0	0	-1	-1	-1
2017	25	3	Nhẫn Sơ Cấp	Sự khởi đầu của 1 huyền thoại	0	19045	-1	0	0	0	0	-1	-1	-1
1673	36	3	Tay nhanh hơn não	Danh hiệu	0	13634	254	0	0	0	0	-1	-1	-1
1558	27	3	Tem chứng nhận Mai An Tiêm	Tem truy xuất nguồn gốc kèm chứng nhận an toàn thự...	0	12935	-1	1	0	0	0	-1	-1	-1
1510	27	3	Hộp quà nhẹ nhàng	VPSK	0	12762	-1	0	0	0	0	-1	-1	-1
1399	29	3	Rương nhẫn	Ngẫu nhiên nhận nhẫn theo cấp độ tự chọn	0	5007	-1	0	0	0	0	-1	-1	-1
1391	5	2	Avatar Cử nhân	VPSK	0	11990	1330	0	0	0	0	1330	-1	-1
1390	5	1	Avatar Cử nhân	VPSK	0	11991	1331	0	0	0	0	1331	-1	-1
1389	5	0	Avatar Cử nhân	VPSK	0	11989	1329	0	0	0	0	1329	-1	-1
1069	27	3	Mảnh nhẫn	Thu thập đủ 999 đến gặp Whis tại hành tinh Bill	1	10201	-1	1	0	0	0	-1	-1	-1
1062	4	2	Nhẫn Thiên Sứ	Giúp tăng Chí Mạng	15	10179	-1	0	0	0	0	-1	-1	-1
1061	4	1	Nhẫn Thiên Sứ	Giúp tăng Chí Mạng	15	10189	-1	0	0	0	0	-1	-1	-1
1060	4	0	Nhẫn Thiên Sứ	Giúp tăng Chí Mạng	15	10169	-1	0	0	0	0	-1	-1	-1
992	27	3	Nhẫn thời không sai lệch	Vật phẩm nhiệm vụ	1	9067	-1	1	0	0	0	-1	-1	-1
991	5	3	Cải trang Bản Cô Nương Siêu Nhân	VPSK	1	9458	-1	0	0	0	0	-1	-1	-1
990	5	3	Cải trang Biđen Siêu Nhân	VPSK	1	9433	-1	0	0	0	0	-1	-1	-1
989	5	3	Cải trang Gohan Siêu Nhân	VPSK	1	9407	-1	0	0	0	0	-1	-1	-1
910	27	3	Bí ngô nhí nhảnh	VPSK	1	8192	-1	1	0	0	0	-1	-1	-1
859	33	3	Mảnh Độc Nhãn	Đầu não của Red Ribbon. Bị chột một mắt. Lúc nhỏ bị mọi người chê là 'Thằng	1	1568	-1	1	0	0	0	-1	-1	-1
838	33	3	Mảnh Lính độc nhãn	Người ta nuôi quân lính dùng trong 1 giờ, Lính độc nhãn thì không dùng được	1	7477	-1	1	0	0	0	-1	-1	-1
837	33	3	Mảnh Lính độc nhãn	Người ta nuôi quân lính dùng trong 1 giờ, Lính độc nhãn thì không dùng được	1	7476	-1	1	0	0	0	-1	-1	-1
656	4	3	Nhẫn Hủy Diệt	Giúp tăng Chí Mạng	14	6323	-1	0	0	0	0	-1	-1	-1
561	4	3	Nhẫn Thần Linh	Giúp tăng Chí Mạng	13	6314	-1	0	0	500000000	0	-1	-1	-1
395	27	3	Nhân vật bí ẩn	VPSK, hết hạn vào ngày 28/2 (tự động xóa)	1	2760	-1	1	0	0	0	-1	-1	-1
