key	category	name	value	default	kind	description
equipment.upgrade.rates	Cường hóa trang bị	Tỉ lệ nâng cấp +0 đến +7	80,50,30,20,10,5,3,1	80,50,20,10,7,5,1,0.3	rate-list	Danh sách phần trăm theo cấp hiện tại, bắt đầu từ +0.
equipment.upgrade.statPercent	Cường hóa trang bị	Chỉ số tăng mỗi cấp	10	10	int	Phần trăm tăng chỉ số gốc khi nâng cấp thành công.
equipment.upgrade.failStatLossPercent	Cường hóa trang bị	Chỉ số giảm khi rớt cấp	5	11	int	Phần trăm trừ chỉ số khi thất bại ở mốc bị rớt cấp.
equipment.socket.rates	Đục lỗ / sao pha lê	Tỉ lệ đục lỗ 0 đến 8 sao	100,80,50,30,20,10,5,3,1	50,20,10,5,1,0.7,0.5,0.1,0.1	rate-list	Tỉ lệ thật và tỉ lệ hiển thị dùng chung danh sách này.
equipment.socket.enhanceRate	Đục lỗ / sao pha lê	Cường hóa lỗ sao 8-9	25	25	rate	Tỉ lệ cường hóa lỗ sao pha lê bằng Hematite và dùi đục.
ring.upgrade.successRates	Nhẫn đệ tử	Nâng cấp nhẫn cấp 0 đến 8	100,100,100,100,100,100,100,100	100,100,100,100,100,100,100,100	ring-rate-list	Tỉ lệ thành công cho từng bước cấp 0→1 đến 7→8. Thành công sẽ đổi sang template và icon nhẫn cấp kế tiếp.
ring.upgrade.stoneCosts	Nhẫn đệ tử	Đá hoàng kim theo cấp	1,2,3,4,5,6,7,8	1,2,3,4,5,6,7,8	ring-positive-int-list	Số Đá hoàng kim tiêu hao cho từng bước nâng cấp.
ring.upgrade.goldCosts	Nhẫn đệ tử	Vàng theo cấp	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	ring-int-list	Số vàng tiêu hao cho từng bước nâng cấp.
ring.upgrade.gemCosts	Nhẫn đệ tử	Ngọc xanh theo cấp	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	ring-int-list	Số ngọc xanh tiêu hao cho từng bước nâng cấp.
earring.level2.upgradeRate	Bông tai	Nâng bông tai cấp 2	50	50	rate	Tỉ lệ Bông tai Porata cấp 1 lên cấp 2.
earring.level3.upgradeRate	Bông tai	Nâng bông tai cấp 3	50	50	rate	Tỉ lệ Bông tai Porata cấp 2 lên cấp 3.
earring.level2.optionRate	Bông tai	Mở chỉ số bông tai cấp 2	50	45	rate	Tỉ lệ random thành công một dòng option cấp 2.
earring.level2.options	Bông tai	Option có thể ra ở cấp 2	77,80,81,103,50,94,5,14	77,80,81,103,50,94,5	option-list	Danh sách ID option, phân cách bằng dấu phẩy; mỗi option có xác suất như nhau.
earring.level2.paramMin	Bông tai	Param nhỏ nhất cấp 2	5	5	int	Giá trị option nhỏ nhất, có tính cả hai đầu mút.
earring.level2.paramMax	Bông tai	Param lớn nhất cấp 2	15	15	int	Giá trị option lớn nhất, có tính cả hai đầu mút.
earring.level3.optionRate	Bông tai	Mở chỉ số bông tai cấp 3	50	30	rate	Tỉ lệ random thành công hai dòng option cấp 3.
earring.level3.options	Bông tai	Option có thể ra ở cấp 3	77,80,81,103,50,94,5	77,80,81,103,50,94,5	option-list	Danh sách ID option cấp 3, phân cách bằng dấu phẩy.
earring.level3.paramMin	Bông tai	Param nhỏ nhất cấp 3	5	5	int	Giá trị nhỏ nhất cho cả hai dòng.
earring.level3.paramMax	Bông tai	Param lớn nhất cấp 3	15	15	int	Giá trị lớn nhất cho cả hai dòng.
earring.level3.allowDuplicate	Bông tai	Cho phép trùng option cấp 3	true	true	bool	true: hai dòng có thể trùng; false: luôn chọn hai ID khác nhau nếu đủ option.
crystal.level2.upgradeRate	Sao pha lê	Nâng sao pha lê cấp 2	50	50	rate	Tỉ lệ dùng Hematite nâng sao pha lê lên cấp 2.
crystal.level2.polishRate	Sao pha lê	Đánh bóng sao pha lê	100	100	rate	Tỉ lệ đánh bóng sao pha lê cấp 2.
craft.mergeUpgradeStoneRate	Ghép / phân rã	Ghép đá nâng cấp	80	80	rate	Tỉ lệ làm phép nhập mảnh đá vụn thành đá nâng cấp.
craft.recycleActiveEquipmentRate	Ghép / phân rã	Phân rã đồ kích hoạt	100	100	rate	Tỉ lệ phân rã trang bị kích hoạt.
craft.rebuildActiveCapsuleRate	Ghép / phân rã	Tái tạo Capsule kích hoạt	100	100	rate	Tỉ lệ tái tạo Capsule kích hoạt.
craft.hematiteRate	Ghép / phân rã	Tạo đá Hematite	100	100	rate	Tỉ lệ ghép sao pha lê thành Hematite.
craft.anvilRate	Ghép / phân rã	Chế tạo dùi đục	100	100	rate	Tỉ lệ chế tạo dùi đục.
craft.grindStoneRate	Ghép / phân rã	Chế tạo đá mài	100	100	rate	Tỉ lệ chế tạo đá mài.
book.oldBookRate	Sách tuyệt kỹ	Chế tạo cuốn sách cũ	50	20	rate	Tỉ lệ đóng trang và bìa thành cuốn sách cũ.
book.exchangeRate	Sách tuyệt kỹ	Đổi sách tuyệt kỹ	20	20	rate	Tỉ lệ đổi cuốn sách cũ khi không dùng con dấu.
